Accuracy,Loss
0.875,0.27237802743911743
1.0,0.09529585391283035
0.875,0.30615806579589844
0.875,0.2233077436685562
1.0,0.2179214060306549
1.0,0.12964297831058502
0.875,0.3852284550666809
0.875,0.33758875727653503
1.0,0.0940217450261116
0.8125,0.4889424443244934
0.9375,0.35637471079826355
0.9375,0.23573794960975647
0.9375,0.47452491521835327
0.8125,0.7295563220977783
0.75,0.475471556186676
0.75,0.4189571738243103
1.0,0.1380765438079834
0.875,0.4049789011478424
0.75,0.9204761981964111
0.875,0.4850981831550598
0.75,0.46577417850494385
1.0,0.2023618072271347
0.9375,0.2737937569618225
0.875,0.2823907136917114
0.6875,0.8579007387161255
0.9375,0.3972310423851013
0.875,0.5894244313240051
0.9375,0.26095497608184814
0.8125,0.31100061535835266
0.875,0.3368431031703949
0.75,0.7817033529281616
1.0,0.05451679974794388
0.9375,0.16111819446086884
1.0,0.10498802363872528
0.9375,0.1663275957107544
1.0,0.13482777774333954
1.0,0.09029368311166763
0.875,0.5689411163330078
0.875,0.6201897859573364
1.0,0.22283348441123962
0.875,0.3053487241268158
0.8125,0.3504045307636261
0.875,0.37294888496398926
0.875,0.5310807228088379
0.875,0.34534767270088196
0.875,0.23795372247695923
0.9375,0.11707986146211624
0.875,0.25940626859664917
0.9375,0.22623994946479797
0.9375,0.36584702134132385
0.8125,0.33056777715682983
0.8125,0.4415483772754669
0.9375,0.2665303349494934
0.875,0.37182819843292236
0.8125,0.530098557472229
1.0,0.07133965939283371
1.0,0.17033463716506958
0.875,0.152055561542511
0.9375,0.31424468755722046
1.0,0.13925592601299286
0.875,0.26645874977111816
0.9375,0.39227932691574097
0.75,0.7600647807121277
0.8125,0.3388821482658386
0.875,0.3658962547779083
1.0,0.10370592772960663
0.8125,0.31618040800094604
0.9375,0.43016666173934937
0.875,0.3094460070133209
0.8125,0.4229026436805725
0.8125,0.6279340982437134
0.9375,0.19194898009300232
0.9375,0.33685410022735596
0.875,0.5899568200111389
0.9375,0.1605629175901413
0.875,0.26088741421699524
0.9375,0.12171747535467148
0.75,0.6923797726631165
0.75,0.3238945007324219
0.6875,0.9520297050476074
0.8125,0.7382919788360596
0.875,0.44053515791893005
0.9375,0.1937224417924881
0.875,0.3517594337463379
0.9375,0.37414100766181946
0.9375,0.10346439480781555
1.0,0.04953870177268982
1.0,0.07783402502536774
0.75,0.9933946132659912
0.875,0.34386733174324036
0.9375,0.3822142481803894
0.75,0.594892680644989
1.0,0.13307064771652222
0.9375,0.3260178864002228
0.875,0.373290479183197
0.875,0.4838111698627472
0.8125,0.32253679633140564
0.75,0.7219974994659424
1.0,0.20141424238681793
0.875,0.43421754240989685
0.8125,0.681846559047699
0.9375,0.20482923090457916
0.75,0.4053345322608948
0.9375,0.26235249638557434
0.8125,0.5821710824966431
0.75,0.6607423424720764
0.8125,0.3982676863670349
1.0,0.10766204446554184
1.0,0.08367614448070526
0.9375,0.2718431353569031
0.875,0.3757029175758362
0.75,0.39805740118026733
1.0,0.07826566696166992
0.9375,0.11973696202039719
0.75,0.5500019192695618
0.9375,0.22366449236869812
1.0,0.34744760394096375
0.8125,0.34204554557800293
0.8125,0.7237184047698975
0.9375,0.22324980795383453
0.9375,0.18840289115905762
1.0,0.06657242774963379
1.0,0.21714608371257782
0.9375,0.22071723639965057
0.875,0.2375292330980301
0.875,0.30932727456092834
0.9375,0.15134848654270172
0.9375,0.10566286742687225
0.875,0.2763175666332245
0.875,0.40697240829467773
0.9375,0.38985782861709595
0.75,0.5915749073028564
0.9375,0.4471591114997864
0.8125,0.5858438611030579
0.9375,0.1505541205406189
0.875,0.23168693482875824
0.9375,0.17316758632659912
0.875,0.32302331924438477
1.0,0.11800391227006912
1.0,0.05945918709039688
0.9375,0.3518714904785156
0.9375,0.17687582969665527
0.6875,0.5387020111083984
0.9375,0.16218724846839905
0.875,0.227859228849411
0.9375,0.22409237921237946
0.875,0.29800593852996826
0.75,0.669593095779419
0.9375,0.23134027421474457
0.9375,0.34689387679100037
0.875,0.4883083403110504
0.9375,0.3191961646080017
0.875,0.5079270005226135
0.875,0.3687465786933899
0.9375,0.3148684501647949
